Region,Soil_Type,Start_Season,Number_of_Seasons,Crop1,Crop2,Crop3,Yield_t_per_ha,Carbon_Sequestration_kg_CO2
Rajasthan,Arid Sandy,Zaid,3,Bottle Gourd,Maize,Mustard,3.27,213.2
Rajasthan,Arid Sandy,Kharif,3,Maize,Mustard,Cucumber,3.18,229.76
Rajasthan,Arid Sandy,Zaid,2,Bottle Gourd,Groundnut,,2.55,249.53
West Bengal,Laterite,Zaid,3,Cucumber,Cotton,Chickpea,2.63,272.22
Rajasthan,Arid Sandy,Zaid,2,Watermelon,Soybean,,3.12,214.98
Maharashtra,Black,Zaid,2,Watermelon,Soybean,,3.4,226.12
Punjab,Alluvial,Kharif,2,Soybean,Mustard,,1.9,211.39
West Bengal,Laterite,Kharif,3,Rice,Mustard,Cucumber,3.11,222.63
Maharashtra,Black,Rabi,2,Chickpea,Bottle Gourd,,3.46,228.91
Tamil Nadu,Red,Zaid,2,Cucumber,Cotton,,3.5,191.92
West Bengal,Laterite,Kharif,2,Soybean,Mustard,,1.52,254.73
Punjab,Alluvial,Kharif,3,Cotton,Barley,Watermelon,2.81,214.33
Punjab,Alluvial,Kharif,3,Soybean,Mustard,Cucumber,2.22,248.93
West Bengal,Laterite,Zaid,2,Bottle Gourd,Soybean,,3.49,240.7
West Bengal,Laterite,Kharif,2,Groundnut,Mustard,,2.14,211.48
Tamil Nadu,Red,Kharif,2,Rice,Mustard,,2.24,194.58
Maharashtra,Black,Rabi,3,Peas,Bottle Gourd,Rice,3.1,277.26
Rajasthan,Arid Sandy,Rabi,3,Mustard,Cucumber,Cotton,2.78,238.09
Maharashtra,Black,Zaid,3,Watermelon,Groundnut,Mustard,2.74,245.38
Rajasthan,Arid Sandy,Rabi,2,Chickpea,Watermelon,,3.32,213.21
Maharashtra,Black,Kharif,3,Groundnut,Mustard,Cucumber,3.14,266.52
Rajasthan,Arid Sandy,Kharif,2,Maize,Mustard,,2.17,172.27
Maharashtra,Black,Zaid,3,Cucumber,Cotton,Peas,2.22,256.44
West Bengal,Laterite,Kharif,3,Cotton,Barley,Bottle Gourd,2.7,234.17
Punjab,Alluvial,Zaid,3,Watermelon,Soybean,Mustard,2.21,242.34
Tamil Nadu,Red,Rabi,2,Wheat,Watermelon,,3.24,179.14
West Bengal,Laterite,Kharif,3,Rice,Mustard,Cucumber,3.06,234.79
West Bengal,Laterite,Kharif,3,Rice,Mustard,Cucumber,3.15,203.73
Tamil Nadu,Red,Rabi,2,Chickpea,Watermelon,,2.63,224.92
Rajasthan,Arid Sandy,Rabi,2,Barley,Bottle Gourd,,2.57,160.52
Punjab,Alluvial,Kharif,3,Groundnut,Mustard,Okra,2.25,287.36
Punjab,Alluvial,Rabi,3,Chickpea,Watermelon,Maize,3.62,246
Tamil Nadu,Red,Kharif,3,Soybean,Mustard,Okra,2.59,256.1
Rajasthan,Arid Sandy,Kharif,2,Cotton,Peas,,1.98,251.78
Maharashtra,Black,Zaid,2,Bottle Gourd,Rice,,4.02,160.66
Maharashtra,Black,Rabi,3,Mustard,Cucumber,Cotton,2.86,215.7
Maharashtra,Black,Kharif,3,Soybean,Mustard,Okra,2.26,248.21
Rajasthan,Arid Sandy,Kharif,2,Maize,Mustard,,2.4,161.43
West Bengal,Laterite,Rabi,3,Barley,Bottle Gourd,Soybean,2.56,261.54
Tamil Nadu,Red,Kharif,3,Cotton,Peas,Bottle Gourd,2.72,249.7
Maharashtra,Black,Rabi,2,Chickpea,Watermelon,,3.2,231.68
Punjab,Alluvial,Zaid,2,Bottle Gourd,Maize,,3.45,188.76
Maharashtra,Black,Kharif,2,Cotton,Barley,,2.67,180.23
Rajasthan,Arid Sandy,Kharif,2,Cotton,Chickpea,,2.03,227.38
Tamil Nadu,Red,Zaid,3,Bottle Gourd,Rice,Mustard,3.21,205.27
Maharashtra,Black,Kharif,3,Rice,Mustard,Okra,3,223.3
Rajasthan,Arid Sandy,Rabi,2,Mustard,Cucumber,,2.76,198.01
Punjab,Alluvial,Zaid,3,Watermelon,Rice,Mustard,3.42,190.87
Tamil Nadu,Red,Kharif,2,Maize,Mustard,,2.22,176.78
Rajasthan,Arid Sandy,Zaid,3,Cucumber,Cotton,Peas,2.33,275.51
West Bengal,Laterite,Zaid,3,Bottle Gourd,Soybean,Mustard,2.19,289.7
Tamil Nadu,Red,Rabi,2,Mustard,Cucumber,,2.99,169.69
Rajasthan,Arid Sandy,Zaid,2,Cucumber,Cotton,,3.68,168.75
Tamil Nadu,Red,Rabi,3,Chickpea,Watermelon,Maize,2.71,257.16
West Bengal,Laterite,Kharif,3,Soybean,Mustard,Cucumber,2.56,247.36
Tamil Nadu,Red,Rabi,3,Wheat,Watermelon,Soybean,2.94,246.17
Rajasthan,Arid Sandy,Rabi,2,Peas,Watermelon,,2.48,222.57
Tamil Nadu,Red,Rabi,2,Wheat,Watermelon,,3.74,181.6
Punjab,Alluvial,Rabi,2,Wheat,Watermelon,,3.67,193.93
Rajasthan,Arid Sandy,Rabi,3,Wheat,Watermelon,Groundnut,2.99,283.8
West Bengal,Laterite,Kharif,2,Cotton,Barley,,2.06,175.25
Rajasthan,Arid Sandy,Rabi,2,Mustard,Cucumber,,2.99,194.26
Tamil Nadu,Red,Rabi,3,Peas,Watermelon,Maize,3.25,241.32
Rajasthan,Arid Sandy,Kharif,2,Groundnut,Mustard,,2.31,228.66
West Bengal,Laterite,Zaid,3,Bottle Gourd,Groundnut,Mustard,2.55,283.75
Rajasthan,Arid Sandy,Kharif,2,Rice,Mustard,,3.08,176.67
Punjab,Alluvial,Rabi,3,Barley,Bottle Gourd,Soybean,3.11,242.65
Maharashtra,Black,Zaid,2,Watermelon,Maize,,3.37,202.61
Tamil Nadu,Red,Zaid,3,Bottle Gourd,Groundnut,Mustard,2.3,246.05
Punjab,Alluvial,Kharif,2,Rice,Mustard,,2.32,179.54
Punjab,Alluvial,Rabi,3,Peas,Bottle Gourd,Rice,3.55,274.07
West Bengal,Laterite,Kharif,3,Maize,Mustard,Okra,2.43,215.58
West Bengal,Laterite,Kharif,3,Soybean,Mustard,Cucumber,2.71,273.38
Rajasthan,Arid Sandy,Rabi,2,Peas,Watermelon,,2.72,224.17
Punjab,Alluvial,Zaid,3,Bottle Gourd,Soybean,Mustard,2.79,242.13
Tamil Nadu,Red,Kharif,3,Soybean,Mustard,Okra,2.58,265.16
Tamil Nadu,Red,Zaid,3,Bottle Gourd,Maize,Mustard,2.8,225.76
Maharashtra,Black,Rabi,3,Peas,Bottle Gourd,Maize,2.96,268.8
Tamil Nadu,Red,Zaid,3,Watermelon,Rice,Mustard,2.85,223.26
Rajasthan,Arid Sandy,Zaid,3,Cucumber,Cotton,Barley,2.85,209.2
Rajasthan,Arid Sandy,Kharif,2,Groundnut,Mustard,,2.12,213.64
Tamil Nadu,Red,Kharif,3,Soybean,Mustard,Okra,2.27,251.27
Maharashtra,Black,Rabi,2,Wheat,Bottle Gourd,,3.83,170.18
Maharashtra,Black,Kharif,3,Soybean,Mustard,Cucumber,2.78,272.11
Rajasthan,Arid Sandy,Kharif,2,Groundnut,Mustard,,2.05,254.99
Maharashtra,Black,Kharif,3,Soybean,Mustard,Okra,2.27,245.05
Rajasthan,Arid Sandy,Kharif,2,Groundnut,Mustard,,2.06,224.49
Tamil Nadu,Red,Rabi,3,Wheat,Bottle Gourd,Groundnut,3.28,286.59
West Bengal,Laterite,Rabi,3,Chickpea,Bottle Gourd,Rice,3.95,272.66
Punjab,Alluvial,Rabi,3,Barley,Bottle Gourd,Groundnut,2.74,280.84
Rajasthan,Arid Sandy,Kharif,2,Cotton,Wheat,,2.77,190.62
Tamil Nadu,Red,Zaid,2,Bottle Gourd,Rice,,3.67,177.51
Rajasthan,Arid Sandy,Rabi,2,Wheat,Bottle Gourd,,3.54,169.81
West Bengal,Laterite,Rabi,2,Chickpea,Watermelon,,3.38,244.77
Punjab,Alluvial,Rabi,2,Chickpea,Watermelon,,2.95,255.9
Maharashtra,Black,Kharif,2,Groundnut,Mustard,,2.01,254.42
West Bengal,Laterite,Zaid,2,Bottle Gourd,Maize,,3.6,166.34
Maharashtra,Black,Rabi,2,Barley,Watermelon,,3.91,209.9
Maharashtra,Black,Zaid,3,Watermelon,Rice,Mustard,2.99,225.26
Tamil Nadu,Red,Kharif,3,Cotton,Peas,Watermelon,3.09,255.94
West Bengal,Laterite,Zaid,2,Bottle Gourd,Soybean,,3.5,241.09
Tamil Nadu,Red,Kharif,2,Maize,Mustard,,2.22,166.14
Maharashtra,Black,Kharif,2,Soybean,Mustard,,1.98,251.82
Tamil Nadu,Red,Rabi,3,Barley,Bottle Gourd,Soybean,2.83,283.14
Rajasthan,Arid Sandy,Rabi,2,Mustard,Okra,,2.55,186.62
Tamil Nadu,Red,Kharif,3,Rice,Mustard,Cucumber,3.47,207.05
West Bengal,Laterite,Rabi,3,Wheat,Bottle Gourd,Groundnut,3.53,289.54
West Bengal,Laterite,Rabi,3,Chickpea,Watermelon,Rice,3.81,251.91
Punjab,Alluvial,Rabi,3,Wheat,Bottle Gourd,Groundnut,3.11,258.08
Tamil Nadu,Red,Zaid,2,Bottle Gourd,Soybean,,2.98,223.23
Maharashtra,Black,Rabi,3,Wheat,Watermelon,Soybean,3.55,282.22
Maharashtra,Black,Rabi,2,Chickpea,Bottle Gourd,,3.11,225.7
Punjab,Alluvial,Rabi,2,Barley,Watermelon,,3.25,171.37
Maharashtra,Black,Kharif,2,Maize,Mustard,,2.25,185.34
Rajasthan,Arid Sandy,Zaid,3,Bottle Gourd,Maize,Mustard,3.56,190.81
Tamil Nadu,Red,Kharif,2,Groundnut,Mustard,,1.7,220.2
West Bengal,Laterite,Rabi,3,Wheat,Watermelon,Groundnut,3.08,256.75
Rajasthan,Arid Sandy,Zaid,3,Watermelon,Soybean,Mustard,2.39,285.59
Punjab,Alluvial,Kharif,2,Cotton,Peas,,2.1,239.13
Maharashtra,Black,Rabi,2,Wheat,Bottle Gourd,,4.12,191.52
Rajasthan,Arid Sandy,Zaid,2,Bottle Gourd,Groundnut,,3.42,225.85
Tamil Nadu,Red,Kharif,3,Maize,Mustard,Cucumber,2.67,226.64
Rajasthan,Arid Sandy,Rabi,2,Barley,Bottle Gourd,,3.75,190.26
Rajasthan,Arid Sandy,Rabi,2,Chickpea,Bottle Gourd,,2.97,255.46
West Bengal,Laterite,Zaid,2,Cucumber,Cotton,,2.65,180.43
West Bengal,Laterite,Kharif,3,Maize,Mustard,Cucumber,2.45,217.73
Punjab,Alluvial,Rabi,2,Mustard,Okra,,2.55,205.93
Rajasthan,Arid Sandy,Rabi,2,Peas,Bottle Gourd,,2.62,254.87
Tamil Nadu,Red,Zaid,2,Bottle Gourd,Rice,,4,182.44
Rajasthan,Arid Sandy,Zaid,3,Watermelon,Soybean,Mustard,2.99,269.48
West Bengal,Laterite,Kharif,2,Rice,Mustard,,2.89,176.02
Maharashtra,Black,Zaid,3,Bottle Gourd,Maize,Mustard,2.72,216.26
West Bengal,Laterite,Rabi,3,Barley,Watermelon,Groundnut,3.39,287.25
Maharashtra,Black,Rabi,3,Chickpea,Watermelon,Rice,2.96,264.33
Maharashtra,Black,Kharif,3,Cotton,Wheat,Bottle Gourd,2.82,231.94
Maharashtra,Black,Kharif,2,Groundnut,Mustard,,1.94,211.29
Maharashtra,Black,Rabi,3,Peas,Bottle Gourd,Maize,2.71,282.24
Rajasthan,Arid Sandy,Rabi,3,Barley,Bottle Gourd,Soybean,3.12,257.69
Punjab,Alluvial,Zaid,2,Bottle Gourd,Soybean,,2.57,232.67
West Bengal,Laterite,Zaid,2,Cucumber,Cotton,,3.15,199.71
Tamil Nadu,Red,Kharif,2,Rice,Mustard,,2.35,207.16
Maharashtra,Black,Rabi,3,Mustard,Cucumber,Cotton,2.37,233.79
West Bengal,Laterite,Zaid,2,Bottle Gourd,Groundnut,,2.85,220.43
Maharashtra,Black,Kharif,3,Cotton,Chickpea,Bottle Gourd,2.93,249
Tamil Nadu,Red,Kharif,3,Soybean,Mustard,Cucumber,2.44,250.95
Tamil Nadu,Red,Rabi,3,Barley,Bottle Gourd,Groundnut,2.82,245.68
Rajasthan,Arid Sandy,Zaid,2,Watermelon,Groundnut,,3.59,211.45
Tamil Nadu,Red,Zaid,2,Watermelon,Rice,,3.95,193.75
Rajasthan,Arid Sandy,Rabi,3,Peas,Watermelon,Maize,3.01,256.99
Punjab,Alluvial,Rabi,3,Peas,Bottle Gourd,Rice,3.21,288.41
West Bengal,Laterite,Rabi,2,Chickpea,Bottle Gourd,,2.75,228.96
Tamil Nadu,Red,Rabi,2,Wheat,Bottle Gourd,,3.13,167.85
West Bengal,Laterite,Rabi,2,Barley,Bottle Gourd,,3.29,170.78
Maharashtra,Black,Kharif,2,Rice,Mustard,,2.79,162.11
Tamil Nadu,Red,Rabi,2,Mustard,Okra,,2.43,200.65
Tamil Nadu,Red,Kharif,2,Rice,Mustard,,2.41,187.08
Maharashtra,Black,Kharif,3,Maize,Mustard,Cucumber,2.77,212.95
Punjab,Alluvial,Rabi,3,Peas,Watermelon,Maize,3.4,264.17
West Bengal,Laterite,Zaid,2,Watermelon,Rice,,4.9,207.57
West Bengal,Laterite,Zaid,2,Watermelon,Maize,,3.48,198.56
Rajasthan,Arid Sandy,Rabi,3,Chickpea,Bottle Gourd,Maize,3.38,244.77
Maharashtra,Black,Kharif,3,Groundnut,Mustard,Okra,2.35,276.15
West Bengal,Laterite,Kharif,2,Soybean,Mustard,,1.85,251.72
Punjab,Alluvial,Rabi,3,Wheat,Watermelon,Soybean,3.5,255.65
Maharashtra,Black,Rabi,3,Peas,Bottle Gourd,Rice,2.71,240.68
Maharashtra,Black,Rabi,2,Wheat,Watermelon,,3.85,186.23
Maharashtra,Black,Zaid,3,Watermelon,Rice,Mustard,3.19,234.01
Tamil Nadu,Red,Zaid,3,Cucumber,Cotton,Barley,2.86,237.6
Tamil Nadu,Red,Zaid,3,Watermelon,Groundnut,Mustard,3.44,282.62
Maharashtra,Black,Kharif,3,Rice,Mustard,Cucumber,3.28,190.28
Maharashtra,Black,Kharif,2,Groundnut,Mustard,,1.79,233.43
Maharashtra,Black,Kharif,3,Groundnut,Mustard,Cucumber,2.71,281.04
Rajasthan,Arid Sandy,Zaid,3,Cucumber,Cotton,Peas,2.64,269.63
Punjab,Alluvial,Zaid,2,Cucumber,Cotton,,2.56,199.84
West Bengal,Laterite,Zaid,3,Cucumber,Cotton,Chickpea,2.29,250.82
West Bengal,Laterite,Kharif,2,Maize,Mustard,,2.42,204.8
Punjab,Alluvial,Kharif,3,Soybean,Mustard,Cucumber,2.36,259.66
Rajasthan,Arid Sandy,Zaid,3,Cucumber,Cotton,Peas,2.84,287.77
Tamil Nadu,Red,Zaid,2,Watermelon,Groundnut,,3.63,244.27
Tamil Nadu,Red,Rabi,3,Peas,Bottle Gourd,Rice,3.08,240.53
Rajasthan,Arid Sandy,Rabi,2,Wheat,Watermelon,,4.05,205.79
West Bengal,Laterite,Kharif,3,Rice,Mustard,Cucumber,3.37,203.71
Punjab,Alluvial,Zaid,2,Watermelon,Groundnut,,3.35,253.75
West Bengal,Laterite,Kharif,2,Cotton,Wheat,,2.66,195.28
Maharashtra,Black,Kharif,2,Soybean,Mustard,,1.64,213.12
West Bengal,Laterite,Zaid,2,Cucumber,Cotton,,3.23,209.31
Tamil Nadu,Red,Zaid,2,Watermelon,Groundnut,,3.98,213.25
West Bengal,Laterite,Kharif,3,Rice,Mustard,Cucumber,3.05,210.46
Punjab,Alluvial,Rabi,3,Chickpea,Watermelon,Rice,3.57,268.31
Rajasthan,Arid Sandy,Kharif,2,Rice,Mustard,,2.75,189.56
Punjab,Alluvial,Kharif,2,Maize,Mustard,,2.5,207.16
Tamil Nadu,Red,Kharif,3,Cotton,Barley,Watermelon,2.51,199.41
Maharashtra,Black,Kharif,3,Cotton,Chickpea,Watermelon,2.53,278.62
West Bengal,Laterite,Rabi,2,Wheat,Watermelon,,3.54,209.69
Rajasthan,Arid Sandy,Rabi,3,Mustard,Cucumber,Cotton,2.53,213.38
Punjab,Alluvial,Kharif,2,Soybean,Mustard,,1.71,238.19
West Bengal,Laterite,Kharif,3,Rice,Mustard,Okra,2.62,235.15
Maharashtra,Black,Rabi,3,Mustard,Cucumber,Cotton,2.66,219.68
Rajasthan,Arid Sandy,Zaid,3,Watermelon,Maize,Mustard,3.21,210.06
Punjab,Alluvial,Kharif,2,Soybean,Mustard,,2.12,230.04
Punjab,Alluvial,Kharif,2,Cotton,Barley,,2.51,166.98
Tamil Nadu,Red,Kharif,2,Cotton,Barley,,2.38,168.27
Maharashtra,Black,Rabi,3,Wheat,Bottle Gourd,Soybean,3.31,247.71
West Bengal,Laterite,Rabi,2,Peas,Bottle Gourd,,2.84,244.34
Maharashtra,Black,Rabi,3,Peas,Bottle Gourd,Rice,3.27,259.99
Tamil Nadu,Red,Rabi,3,Chickpea,Watermelon,Rice,3.72,241.34
West Bengal,Laterite,Kharif,2,Cotton,Peas,,1.96,240.53
Rajasthan,Arid Sandy,Kharif,2,Maize,Mustard,,2.06,181.77
Tamil Nadu,Red,Rabi,2,Peas,Bottle Gourd,,2.74,251.06
Rajasthan,Arid Sandy,Zaid,2,Watermelon,Rice,,3.98,192.79
Rajasthan,Arid Sandy,Kharif,2,Cotton,Barley,,2.29,182.73
Rajasthan,Arid Sandy,Zaid,3,Watermelon,Rice,Mustard,3.17,230.36
Rajasthan,Arid Sandy,Zaid,3,Watermelon,Soybean,Mustard,2.21,277.98
Punjab,Alluvial,Kharif,2,Cotton,Peas,,1.88,246.38
Rajasthan,Arid Sandy,Rabi,2,Peas,Watermelon,,3.35,233.01
Punjab,Alluvial,Zaid,3,Cucumber,Cotton,Peas,2.71,253.36
Tamil Nadu,Red,Rabi,3,Wheat,Watermelon,Groundnut,2.68,276.6
Maharashtra,Black,Kharif,2,Maize,Mustard,,2.34,173.73
Rajasthan,Arid Sandy,Zaid,2,Watermelon,Rice,,3.38,167.34
Punjab,Alluvial,Rabi,2,Barley,Watermelon,,2.74,207.52
Tamil Nadu,Red,Zaid,2,Watermelon,Rice,,4.42,209.75
West Bengal,Laterite,Zaid,2,Bottle Gourd,Soybean,,2.93,256.77
Tamil Nadu,Red,Zaid,2,Cucumber,Cotton,,3.31,193.91
Tamil Nadu,Red,Kharif,3,Maize,Mustard,Cucumber,2.83,229.51
Tamil Nadu,Red,Kharif,2,Maize,Mustard,,2.29,190.57
West Bengal,Laterite,Rabi,3,Chickpea,Watermelon,Maize,3.12,255.98
Rajasthan,Arid Sandy,Kharif,3,Soybean,Mustard,Okra,2.07,282.61
Punjab,Alluvial,Zaid,3,Cucumber,Cotton,Barley,2.94,227.54
Rajasthan,Arid Sandy,Zaid,3,Bottle Gourd,Maize,Mustard,2.99,228.25
Rajasthan,Arid Sandy,Zaid,2,Watermelon,Rice,,3.28,209.61
West Bengal,Laterite,Rabi,2,Mustard,Cucumber,,2.67,170.89
West Bengal,Laterite,Rabi,3,Barley,Bottle Gourd,Groundnut,2.93,260.2
Rajasthan,Arid Sandy,Rabi,2,Chickpea,Watermelon,,3.49,244.17
Punjab,Alluvial,Rabi,3,Peas,Watermelon,Rice,3.25,271
Punjab,Alluvial,Zaid,3,Bottle Gourd,Soybean,Mustard,2.4,287.59
Rajasthan,Arid Sandy,Zaid,2,Cucumber,Cotton,,2.99,170.35
Rajasthan,Arid Sandy,Rabi,2,Chickpea,Watermelon,,3.74,258.64
West Bengal,Laterite,Zaid,2,Cucumber,Cotton,,2.86,163.49
Punjab,Alluvial,Zaid,3,Watermelon,Groundnut,Mustard,3.27,266.87
West Bengal,Laterite,Zaid,2,Watermelon,Groundnut,,3.56,250.58
Punjab,Alluvial,Rabi,3,Chickpea,Watermelon,Maize,3.07,277.9
West Bengal,Laterite,Kharif,2,Cotton,Chickpea,,2.03,222.15
Rajasthan,Arid Sandy,Kharif,3,Rice,Mustard,Okra,3.1,227.85
Tamil Nadu,Red,Rabi,3,Barley,Watermelon,Groundnut,3.35,247.4
Tamil Nadu,Red,Kharif,2,Cotton,Peas,,1.96,245.79
West Bengal,Laterite,Zaid,3,Watermelon,Groundnut,Mustard,2.5,270.37
Rajasthan,Arid Sandy,Rabi,2,Wheat,Bottle Gourd,,3.19,160.6
Tamil Nadu,Red,Zaid,3,Watermelon,Maize,Mustard,3.1,216.17
Rajasthan,Arid Sandy,Rabi,2,Chickpea,Watermelon,,3.58,210.71
Punjab,Alluvial,Rabi,2,Barley,Bottle Gourd,,2.89,198.9
Punjab,Alluvial,Zaid,2,Cucumber,Cotton,,3.17,205.32
West Bengal,Laterite,Kharif,2,Cotton,Wheat,,2.25,176.48
Punjab,Alluvial,Rabi,2,Wheat,Watermelon,,3.43,172.8
Rajasthan,Arid Sandy,Kharif,2,Groundnut,Mustard,,1.93,219.5
Punjab,Alluvial,Kharif,3,Rice,Mustard,Okra,2.82,194.91
Punjab,Alluvial,Rabi,2,Mustard,Cucumber,,2.23,169.87
West Bengal,Laterite,Zaid,2,Watermelon,Soybean,,3.25,253.06
West Bengal,Laterite,Zaid,3,Bottle Gourd,Soybean,Mustard,2.51,265.36
West Bengal,Laterite,Rabi,3,Barley,Bottle Gourd,Groundnut,2.9,262
Maharashtra,Black,Rabi,2,Barley,Watermelon,,2.97,198.02
Tamil Nadu,Red,Kharif,3,Cotton,Barley,Bottle Gourd,2.82,215.09
Tamil Nadu,Red,Zaid,3,Bottle Gourd,Soybean,Mustard,2.37,278.32
Maharashtra,Black,Kharif,2,Cotton,Chickpea,,2.35,248.99
Tamil Nadu,Red,Kharif,3,Soybean,Mustard,Cucumber,2.27,277.26
Rajasthan,Arid Sandy,Rabi,3,Chickpea,Watermelon,Maize,3.24,260.44
Maharashtra,Black,Rabi,3,Wheat,Bottle Gourd,Soybean,3.15,241.18
Rajasthan,Arid Sandy,Rabi,3,Chickpea,Bottle Gourd,Rice,3.17,243.72
Maharashtra,Black,Rabi,3,Chickpea,Watermelon,Rice,3.59,275.32
Maharashtra,Black,Rabi,3,Wheat,Bottle Gourd,Soybean,2.95,286.18
Punjab,Alluvial,Rabi,2,Wheat,Watermelon,,4.3,201.22
West Bengal,Laterite,Kharif,3,Maize,Mustard,Cucumber,3.1,197.02
Punjab,Alluvial,Zaid,3,Cucumber,Cotton,Barley,2.6,206.65
Tamil Nadu,Red,Rabi,2,Mustard,Okra,,2.43,200.3
Punjab,Alluvial,Zaid,2,Cucumber,Cotton,,3.31,207.99
Tamil Nadu,Red,Zaid,3,Cucumber,Cotton,Wheat,3.34,229.03
West Bengal,Laterite,Kharif,2,Groundnut,Mustard,,2.3,247.6
Rajasthan,Arid Sandy,Rabi,3,Peas,Bottle Gourd,Maize,2.9,266.39
Rajasthan,Arid Sandy,Kharif,3,Groundnut,Mustard,Okra,2.26,256.12
Maharashtra,Black,Rabi,2,Chickpea,Watermelon,,3.4,220.02
West Bengal,Laterite,Rabi,2,Mustard,Okra,,2.07,161.31
West Bengal,Laterite,Kharif,2,Groundnut,Mustard,,2.21,225.77
Tamil Nadu,Red,Kharif,3,Cotton,Barley,Bottle Gourd,3.02,237.22
Punjab,Alluvial,Rabi,2,Peas,Bottle Gourd,,2.83,229.96
Maharashtra,Black,Rabi,2,Wheat,Bottle Gourd,,3.66,185.82
Maharashtra,Black,Kharif,2,Soybean,Mustard,,1.96,219.55
Punjab,Alluvial,Zaid,3,Watermelon,Soybean,Mustard,2.79,261
Punjab,Alluvial,Rabi,3,Barley,Bottle Gourd,Groundnut,3.16,275.06
Rajasthan,Arid Sandy,Rabi,2,Barley,Watermelon,,3.59,168.87
Punjab,Alluvial,Kharif,2,Maize,Mustard,,2.37,200.12
Tamil Nadu,Red,Rabi,3,Mustard,Cucumber,Cotton,2.34,230.47
Maharashtra,Black,Rabi,2,Mustard,Okra,,2.28,191.27
Tamil Nadu,Red,Zaid,3,Bottle Gourd,Rice,Mustard,2.85,197.22
Rajasthan,Arid Sandy,Kharif,3,Groundnut,Mustard,Okra,2.17,260.99
Punjab,Alluvial,Kharif,3,Soybean,Mustard,Cucumber,2.53,255.57
Rajasthan,Arid Sandy,Rabi,2,Barley,Watermelon,,3.96,164.82
Maharashtra,Black,Zaid,2,Bottle Gourd,Groundnut,,3.09,222.49
Tamil Nadu,Red,Kharif,3,Cotton,Chickpea,Watermelon,2.74,273.06
West Bengal,Laterite,Zaid,2,Watermelon,Rice,,4.87,160.72
Punjab,Alluvial,Kharif,2,Soybean,Mustard,,1.55,252.88
Maharashtra,Black,Zaid,3,Watermelon,Maize,Mustard,2.96,203.97
West Bengal,Laterite,Rabi,3,Mustard,Cucumber,Cotton,2.62,223.16
Tamil Nadu,Red,Zaid,3,Bottle Gourd,Soybean,Mustard,2.68,251.36
Rajasthan,Arid Sandy,Kharif,2,Groundnut,Mustard,,1.85,232.63
West Bengal,Laterite,Kharif,2,Soybean,Mustard,,1.69,248.8
West Bengal,Laterite,Zaid,2,Cucumber,Cotton,,3.44,168.34
Maharashtra,Black,Kharif,2,Groundnut,Mustard,,2.32,217.6
West Bengal,Laterite,Rabi,2,Barley,Bottle Gourd,,3.93,174.82
West Bengal,Laterite,Rabi,3,Peas,Watermelon,Rice,2.96,275.42
Tamil Nadu,Red,Kharif,2,Rice,Mustard,,2.4,168.01
Maharashtra,Black,Rabi,2,Peas,Watermelon,,2.77,227.52
Maharashtra,Black,Rabi,2,Peas,Bottle Gourd,,3.09,243.62
Maharashtra,Black,Rabi,2,Barley,Watermelon,,2.65,175.56
Rajasthan,Arid Sandy,Rabi,2,Chickpea,Watermelon,,3.55,247.71
Tamil Nadu,Red,Rabi,2,Peas,Watermelon,,2.87,239.25
Rajasthan,Arid Sandy,Rabi,2,Chickpea,Bottle Gourd,,3.16,257.99
Tamil Nadu,Red,Kharif,3,Soybean,Mustard,Okra,2.32,276.2
Tamil Nadu,Red,Rabi,3,Peas,Watermelon,Maize,2.71,252.14
Rajasthan,Arid Sandy,Kharif,3,Cotton,Wheat,Watermelon,3.11,215.95
Rajasthan,Arid Sandy,Kharif,2,Groundnut,Mustard,,1.95,248.2
Tamil Nadu,Red,Zaid,3,Watermelon,Rice,Mustard,3.28,233.17
Punjab,Alluvial,Rabi,3,Wheat,Bottle Gourd,Soybean,3.01,286.03
Punjab,Alluvial,Zaid,3,Cucumber,Cotton,Peas,2.62,279.19
West Bengal,Laterite,Zaid,3,Watermelon,Soybean,Mustard,2.98,270.82
Maharashtra,Black,Rabi,3,Wheat,Bottle Gourd,Groundnut,3.03,259.13
Tamil Nadu,Red,Zaid,3,Cucumber,Cotton,Chickpea,3.17,256.14
Punjab,Alluvial,Kharif,3,Groundnut,Mustard,Okra,2.32,244.53
West Bengal,Laterite,Zaid,3,Cucumber,Cotton,Peas,2.7,245.18
Tamil Nadu,Red,Zaid,2,Cucumber,Cotton,,2.71,187.4
Tamil Nadu,Red,Kharif,3,Maize,Mustard,Okra,2.88,197.27
Tamil Nadu,Red,Kharif,2,Groundnut,Mustard,,2.31,237.56
West Bengal,Laterite,Kharif,3,Maize,Mustard,Cucumber,3.33,230.17
Tamil Nadu,Red,Rabi,3,Barley,Bottle Gourd,Groundnut,2.87,256.08
Maharashtra,Black,Zaid,2,Bottle Gourd,Groundnut,,3.09,251.31
Rajasthan,Arid Sandy,Rabi,2,Peas,Watermelon,,2.97,257.66
Maharashtra,Black,Kharif,3,Groundnut,Mustard,Cucumber,2.46,257.72
Tamil Nadu,Red,Zaid,3,Bottle Gourd,Groundnut,Mustard,3.21,250.76
Rajasthan,Arid Sandy,Rabi,3,Barley,Bottle Gourd,Groundnut,2.98,255.72
Punjab,Alluvial,Zaid,2,Cucumber,Cotton,,3.06,163.18
Punjab,Alluvial,Zaid,3,Bottle Gourd,Soybean,Mustard,2.28,274.27
